upd,rollout_reward_mean,rollout_reward_sum,rollout_abspos_mean,rollout_turnover_mean,rollout_fee_sum,pi_loss,v_loss,entropy
1,-0.15556740527563306,-79.65051150112413,0.505859375,0.716796875,0.018349999999999995,-0.005829306319355965,15.961060153113472,1.0482347673839993
12,0.09320167413898162,47.71925715915859,0.701171875,0.892578125,0.022850000000000023,-0.0017823660746216774,44.83036708831787,1.0798502498202853
24,0.10906230280261298,55.839899034937844,0.7734375,0.87890625,0.02249999999999999,-0.006693604402244091,3.744181659486559,1.0267422133021884
36,0.19682894409220353,100.7764193752082,0.61328125,0.833984375,0.021350000000000008,-0.004157690279599693,9.085754526986015,1.0121837589475844
48,0.004160204273375712,2.1300245879683644,0.76953125,0.7421875,0.01899999999999999,-0.0016445595150192578,2.6676586866378784,0.929259846607844
60,0.1849469323727817,94.69282937486423,0.6796875,0.78125,0.02,9.149281928936641e-05,4.5606733957926435,0.9872528778182136
72,0.04342580889897363,22.234014156274498,0.67578125,0.787109375,0.020150000000000008,-0.007637464441359043,4.41303198867374,0.9698566297690073
84,0.18288992878842691,93.63964353967458,0.6875,0.7734375,0.01980000000000001,-0.0009997205343097448,30.49046145545112,0.9483162694507175
96,0.19023994162671443,97.40285011287779,0.810546875,0.80859375,0.020699999999999996,-0.003348117642518547,4.861519826783074,0.9117861688137054
108,0.18792682303273978,96.21853339276277,0.697265625,0.669921875,0.017149999999999967,-0.0029971999530163077,4.463262730174595,0.9060210916731093
120,0.16157222340916633,82.72497838549316,0.71875,0.701171875,0.01794999999999998,-0.0015837334924274022,13.947056611378988,0.9337190654542711
