upd,rollout_reward_mean,rollout_reward_sum,rollout_abspos_mean,rollout_turnover_mean,rollout_fee_sum,pi_loss,v_loss,entropy
1,0.08690341932322099,177.97820277395658,0.6875,0.90478515625,0.03705999999999902,-0.006491451687179506,50.969561386108396,1.0842197313904762
10,0.0811747659808546,166.24592072879022,0.712890625,0.81103515625,0.033219999999999146,0.00341761470772326,17.141489255428315,1.0259498909115792
20,0.10082396125726234,206.48747265487327,0.48486328125,0.66015625,0.027039999999999332,-0.0009370171930640936,17.27637448310852,0.9907207131385803
30,0.2345162339293836,480.2892470873776,0.7568359375,0.80517578125,0.032979999999999184,-0.00048628571094013753,36.750407862663266,0.9780313722789288
40,0.13457529553190284,275.610205249337,0.64501953125,0.6982421875,0.028599999999999293,-0.002954390604281798,21.29175282716751,0.9300488822162152
50,0.03630633050161691,74.35536486731144,0.72021484375,0.86376953125,0.03537999999999907,-0.00399968441342935,10.448070043325425,1.0467052832245827
60,0.05737582808910702,117.50569592649117,0.71484375,0.85009765625,0.034819999999999095,-0.00472323113353923,8.449694222211837,1.0340593114495278
70,0.0271229400028119,55.547781125758775,0.71875,0.8037109375,0.032919999999999186,-0.0007851894770283252,6.3836639523506165,0.9865566782653332
80,0.07432576080034892,152.21915811911458,0.720703125,0.7421875,0.030399999999999244,-0.004561250552069396,10.660804867744446,0.9185044147074223
90,0.08126621957919156,166.4332176981843,0.7001953125,0.7421875,0.030399999999999275,-0.0032495368039235474,8.396502989530564,0.9521513223648072
100,0.06167991497774494,126.32046587442164,0.65869140625,0.71875,0.029439999999999286,-0.0008024296024814248,9.198690092563629,0.9723103411495686
110,0.13798683807999623,282.5970443878323,0.77099609375,0.65576171875,0.02685999999999941,0.0013085517566651106,12.101656222343445,0.874312948435545
120,0.18727813646104607,383.54562347222236,0.74267578125,0.7607421875,0.031159999999999254,-0.0019374899449758232,30.16652524471283,0.9154046803712845
130,0.16030676833338475,328.308261546772,0.70703125,0.73095703125,0.02993999999999927,6.694636249449104e-05,34.28030235767365,0.9480063490569591
140,0.0657668799798472,134.69057019872707,0.65673828125,0.80078125,0.03279999999999915,-0.002869070175802335,5.272607836127281,1.0345331683754921
150,0.041847823776265614,85.70434309379198,0.623046875,0.7431640625,0.030439999999999218,-0.0025868126074783506,9.517642295360565,0.9979192227125168
160,0.17205453816228555,352.3676941563608,0.72021484375,0.72607421875,0.029739999999999274,-0.002899496117606759,23.150833392143248,0.9463255666196346
170,0.11120432591604867,227.74645947606768,0.6259765625,0.703125,0.02879999999999929,-0.0037885405588895084,25.505308532714842,0.96821084395051
180,0.12646447804263516,258.9992510313168,0.6728515625,0.734375,0.030079999999999267,-0.002163751859916374,23.279047441482543,0.9500545524060726
190,0.06319329800476226,129.4198743137531,0.640625,0.76611328125,0.03137999999999919,-0.001272421603789553,14.2388277053833,1.0161087058484555
200,0.08619209629205216,176.52141320612282,0.6123046875,0.71875,0.02943999999999925,-0.0030873413663357495,23.879662418365477,0.9756873026490211
