open_time,open,high,low,close,volume,close_time,quote_volume,num_trades,taker_buy_volume,taker_buy_quote_volume
2024-06-01 00:00:00+00:00,67570.0,67682.8,67540.1,67635.82,0.57982,2024-06-01 00:59:59.999000+00:00,39186.3111626,123,0.03944,2668.2965693
2024-06-01 01:00:00+00:00,67690.23,67690.23,67484.71,67617.58,0.06344,2024-06-01 01:59:59.999000+00:00,4285.5220091,59,0.02979,2013.490631
2024-06-01 02:00:00+00:00,67617.52,67770.23,67560.83,67695.84,0.07519,2024-06-01 02:59:59.999000+00:00,5089.3279026,58,0.05068,3430.5459707
2024-06-01 03:00:00+00:00,67770.27,67782.2,67626.41,67748.9,0.06607,2024-06-01 03:59:59.999000+00:00,4476.1020941,36,0.04801,3253.4810932
2024-06-01 04:00:00+00:00,67748.9,67771.24,67665.43,67688.21,0.28726,2024-06-01 04:59:59.999000+00:00,19446.4969796,53,0.05126,3472.5918403
2024-06-01 05:00:00+00:00,67749.72,67786.96,67644.01,67745.57,0.04767,2024-06-01 05:59:59.999000+00:00,3227.69088,41,0.03207,2172.3433997
2024-06-01 06:00:00+00:00,67683.31,67763.72,67609.83,67721.52,0.26434,2024-06-01 06:59:59.999000+00:00,17898.6600037,78,0.26193,17735.6547372
2024-06-01 07:00:00+00:00,67730.76,67762.84,67577.82,67628.73,0.27536,2024-06-01 07:59:59.999000+00:00,18627.8066655,58,0.0783,5302.6325779
2024-06-01 08:00:00+00:00,67693.97,67782.04,67615.4,67754.68,0.01617,2024-06-01 08:59:59.999000+00:00,1094.7922929,32,0.01444,977.774945
2024-06-01 09:00:00+00:00,67718.4,67788.59,67641.9,67735.93,0.03544,2024-06-01 09:59:59.999000+00:00,2400.5331673,37,0.01719,1164.715579
2024-06-01 10:00:00+00:00,67725.0,67769.35,67646.62,67646.63,0.02211,2024-06-01 10:59:59.999000+00:00,1496.7559475,51,0.0101,684.0238147
2024-06-01 11:00:00+00:00,67706.03,67755.72,67639.28,67725.07,0.06147,2024-06-01 11:59:59.999000+00:00,4160.5490974,35,0.02173,1471.5225014
2024-06-01 12:00:00+00:00,67724.65,67839.91,67652.62,67810.16,0.1165,2024-06-01 12:59:59.999000+00:00,7894.2060371,60,0.09458,6410.3753832
2024-06-01 13:00:00+00:00,67727.94,67868.01,67727.94,67782.26,0.19562,2024-06-01 13:59:59.999000+00:00,13268.2519514,51,0.18703,12685.9959931
2024-06-01 14:00:00+00:00,67728.0,67870.11,67668.75,67829.91,1.05521,2024-06-01 14:59:59.999000+00:00,71532.8875813,128,1.04915,71122.3018224
2024-06-01 15:00:00+00:00,67829.91,67829.97,67707.8,67707.8,0.1052,2024-06-01 15:59:59.999000+00:00,7132.433603,51,0.07572,5134.9783135
2024-06-01 16:00:00+00:00,67728.76,67751.71,67636.22,67717.66,0.28673,2024-06-01 16:59:59.999000+00:00,19410.9772848,108,0.13357,9046.9089113
2024-06-01 17:00:00+00:00,67717.52,67846.69,67621.07,67846.69,0.32558,2024-06-01 17:59:59.999000+00:00,22051.9444156,94,0.19006,12885.0637738
