open_time,open,high,low,close,volume,close_time,quote_volume,num_trades,taker_buy_volume,taker_buy_quote_volume
2025-12-01 00:00:00+00:00,90368.32,90586.46,89606.71,90004.23,3.77064,2025-12-01 00:04:59.999000+00:00,338743.8018845,140,1.10033,98667.7208379
2025-12-01 00:05:00+00:00,90003.9,90003.9,89000.0,89429.63,0.5498,2025-12-01 00:09:59.999000+00:00,49192.737556,64,0.00248,222.3964235
2025-12-01 00:10:00+00:00,89042.36,89333.41,88929.74,88929.74,0.17339,2025-12-01 00:14:59.999000+00:00,15431.3584115,21,0.01778,1586.7152582
2025-12-01 00:15:00+00:00,89194.89,89194.89,88573.78,88927.85,0.26806,2025-12-01 00:19:59.999000+00:00,23765.0756038,36,0.00272,242.4897832
2025-12-01 00:20:00+00:00,88565.51,88825.16,88463.3,88463.3,0.10732,2025-12-01 00:24:59.999000+00:00,9498.0120359,15,0.00015,13.323774
2025-12-01 00:25:00+00:00,88533.07,88742.12,88442.71,88442.71,0.0034,2025-12-01 00:29:59.999000+00:00,301.2026899,7,0.00207,183.5688234
2025-12-01 00:30:00+00:00,88400.0,88596.24,87862.81,88161.19,0.11834,2025-12-01 00:34:59.999000+00:00,10413.7969626,53,0.01824,1612.1539561
2025-12-01 00:35:00+00:00,87855.21,88160.26,87682.7,87712.54,0.01168,2025-12-01 00:39:59.999000+00:00,1025.7356481,18,0.00217,191.0816269
2025-12-01 00:40:00+00:00,88036.31,88161.48,88036.27,88160.24,0.00406,2025-12-01 00:44:59.999000+00:00,357.9057475,6,0.00406,357.9057475
2025-12-01 00:45:00+00:00,87683.34,88020.34,87479.9,87770.07,0.08138,2025-12-01 00:49:59.999000+00:00,7126.2281242,26,0.00079,69.3781989
2025-12-01 00:50:00+00:00,87416.89,87644.67,87195.75,87195.75,0.19212,2025-12-01 00:54:59.999000+00:00,16771.088459,25,0.00074,64.8471823
2025-12-01 00:55:00+00:00,87195.75,87550.15,87053.6,87142.0,0.31425,2025-12-01 00:59:59.999000+00:00,27387.2820519,24,0.00786,684.7153199
2025-12-01 01:00:00+00:00,87340.77,87619.06,87000.01,87616.89,0.03213,2025-12-01 01:04:59.999000+00:00,2807.3312408,28,0.02511,2196.1191379
2025-12-01 01:05:00+00:00,87273.44,87663.4,87273.44,87663.4,0.47909,2025-12-01 01:09:59.999000+00:00,41818.1381062,9,0.01743,1527.2493969
2025-12-01 01:10:00+00:00,87380.87,87665.57,87273.44,87662.51,0.22911,2025-12-01 01:14:59.999000+00:00,20019.3108993,21,0.0039,341.5456108
2025-12-01 01:15:00+00:00,87662.59,87805.51,87662.51,87662.51,0.00387,2025-12-01 01:19:59.999000+00:00,339.5535504,7,0.00227,199.2934976
2025-12-01 01:20:00+00:00,87679.19,87679.19,87440.26,87440.26,0.00424,2025-12-01 01:24:59.999000+00:00,371.4406124,8,0.00292,256.0159574
2025-12-01 01:25:00+00:00,87440.27,87560.83,87440.26,87560.83,0.00319,2025-12-01 01:29:59.999000+00:00,278.9404693,4,5e-05,4.3780415
2025-12-01 01:30:00+00:00,87560.58,87564.29,87279.31,87493.15,0.00643,2025-12-01 01:34:59.999000+00:00,561.6748,5,0.00114,99.8211759
2025-12-01 01:35:00+00:00,87557.89,87716.44,87557.8,87600.0,0.05239,2025-12-01 01:39:59.999000+00:00,4589.2365088,6,0.00509,445.7565088
2025-12-01 01:40:00+00:00,87712.01,87712.01,87470.2,87470.2,0.12601,2025-12-01 01:44:59.999000+00:00,11041.7280839,19,0.02013,1762.3943601
2025-12-01 01:45:00+00:00,87745.49,87745.49,87470.23,87684.2,0.00415,2025-12-01 01:49:59.999000+00:00,363.7949448,15,0.00351,307.8139976
2025-12-01 01:50:00+00:00,87683.18,87683.18,87470.2,87470.2,0.031,2025-12-01 01:54:59.999000+00:00,2711.8157387,14,0.00178,155.9336932
2025-12-01 01:55:00+00:00,87470.2,87522.61,87269.73,87477.86,0.01986,2025-12-01 01:59:59.999000+00:00,1738.0477469,6,0.01927,1686.556045
2025-12-01 02:00:00+00:00,87390.38,87390.38,87390.03,87390.03,0.00268,2025-12-01 02:04:59.999000+00:00,234.2059055,4,0.00268,234.2059055
2025-12-01 02:05:00+00:00,87526.76,87615.75,87520.72,87520.72,0.0923,2025-12-01 02:09:59.999000+00:00,8078.862854,7,0.0923,8078.862854
2025-12-01 02:10:00+00:00,87722.17,87722.17,87721.78,87721.78,0.00043,2025-12-01 02:14:59.999000+00:00,37.7204313,3,0.00043,37.7204313
2025-12-01 02:15:00+00:00,87628.18,87628.18,87387.1,87387.1,0.00855,2025-12-01 02:19:59.999000+00:00,747.171759,3,5e-05,4.381409
2025-12-01 02:20:00+00:00,87388.07,87604.25,87388.06,87534.38,0.00091,2025-12-01 02:24:59.999000+00:00,79.5435562,4,0.00013,11.3808668
2025-12-01 02:25:00+00:00,87469.12,87469.12,87258.96,87258.96,0.00201,2025-12-01 02:29:59.999000+00:00,175.6370176,4,0.00115,100.589488
2025-12-01 02:30:00+00:00,87153.72,87416.56,87099.89,87099.89,0.11118,2025-12-01 02:34:59.999000+00:00,9690.4064712,14,0.0087,760.2061128
2025-12-01 02:35:00+00:00,87001.05,87138.67,86732.25,86928.21,0.05487,2025-12-01 02:39:59.999000+00:00,4770.4618244,28,0.00282,245.343924
2025-12-01 02:40:00+00:00,87146.68,87146.68,86695.88,86706.92,0.01325,2025-12-01 02:44:59.999000+00:00,1150.2032608,12,0.00308,268.398844
2025-12-01 02:45:00+00:00,86695.88,86695.88,86580.4,86580.4,0.01174,2025-12-01 02:49:59.999000+00:00,1017.2245726,10,0.0,0.0
2025-12-01 02:50:00+00:00,86565.39,86766.89,86550.25,86766.89,0.15395,2025-12-01 02:54:59.999000+00:00,13356.43562,14,0.14628,12692.24439
2025-12-01 02:55:00+00:00,86923.05,86923.05,86920.01,86920.01,0.00529,2025-12-01 02:59:59.999000+00:00,459.8167415,4,0.00529,459.8167415
2025-12-01 03:00:00+00:00,86917.03,86917.03,86592.66,86902.18,0.00305,2025-12-01 03:04:59.999000+00:00,265.0207387,8,0.00291,252.8977663
2025-12-01 03:05:00+00:00,86901.73,86901.73,86525.51,86525.51,0.00346,2025-12-01 03:09:59.999000+00:00,300.1396953,8,0.0021,182.4312891
2025-12-01 03:10:00+00:00,86482.23,86688.77,86464.18,86464.18,0.26718,2025-12-01 03:14:59.999000+00:00,23105.9862552,13,0.00154,133.4959106
2025-12-01 03:15:00+00:00,86464.18,86860.48,86337.97,86860.48,0.0369,2025-12-01 03:19:59.999000+00:00,3191.845587,16,0.02178,1886.0680608
2025-12-01 03:20:00+00:00,86316.45,86709.55,86316.45,86707.3,0.00064,2025-12-01 03:24:59.999000+00:00,55.3960528,8,0.00039,33.8160456
2025-12-01 03:25:00+00:00,86644.38,86644.38,86644.38,86644.38,0.00035,2025-12-01 03:29:59.999000+00:00,30.325533,1,0.00035,30.325533
2025-12-01 03:30:00+00:00,86554.35,86554.35,86281.0,86281.11,0.02279,2025-12-01 03:34:59.999000+00:00,1966.7718956,6,0.02177,1878.756087
2025-12-01 03:35:00+00:00,86397.68,86397.68,86250.0,86250.0,0.03223,2025-12-01 03:39:59.999000+00:00,2780.4337669,11,0.01175,1013.8776543
2025-12-01 03:40:00+00:00,86252.51,86549.18,86207.82,86549.18,0.00351,2025-12-01 03:44:59.999000+00:00,303.2151855,7,0.00342,295.4564817
2025-12-01 03:45:00+00:00,86543.01,86543.01,86267.45,86539.29,0.00209,2025-12-01 03:49:59.999000+00:00,180.7107881,3,0.00151,130.6756671
2025-12-01 03:50:00+00:00,86518.55,86518.55,86518.55,86518.55,9e-05,2025-12-01 03:54:59.999000+00:00,7.7866695,1,9e-05,7.7866695
2025-12-01 03:55:00+00:00,86513.72,86513.72,86226.61,86507.52,0.00073,2025-12-01 03:59:59.999000+00:00,63.0891949,4,0.00051,44.1193312
2025-12-01 04:00:00+00:00,86505.56,86505.56,86226.8,86424.36,0.02081,2025-12-01 04:04:59.999000+00:00,1795.3824136,9,0.00408,352.8080496
2025-12-01 04:05:00+00:00,86421.22,86421.22,86418.65,86418.65,0.00064,2025-12-01 04:09:59.999000+00:00,55.3080902,2,0.00064,55.3080902
2025-12-01 04:10:00+00:00,86220.0,86319.28,86064.01,86236.7,0.05804,2025-12-01 04:14:59.999000+00:00,4998.4319082,20,0.00095,81.9918133
2025-12-01 04:15:00+00:00,86011.03,86011.03,85929.39,85929.41,0.05295,2025-12-01 04:19:59.999000+00:00,4553.5578057,14,0.0,0.0
2025-12-01 04:20:00+00:00,86144.68,86144.68,85807.72,85807.72,0.01767,2025-12-01 04:24:59.999000+00:00,1518.401688,21,0.00278,239.4775343
2025-12-01 04:25:00+00:00,86005.12,86005.12,85726.67,85907.46,0.01151,2025-12-01 04:29:59.999000+00:00,986.9114324,5,0.0006,51.4682988
2025-12-01 04:30:00+00:00,85828.4,85890.39,85828.38,85890.28,0.01417,2025-12-01 04:34:59.999000+00:00,1216.3320753,7,0.01378,1182.8589993
2025-12-01 04:35:00+00:00,85737.65,85737.65,85737.65,85737.65,0.00073,2025-12-01 04:39:59.999000+00:00,62.5884845,1,0.0,0.0
2025-12-01 04:40:00+00:00,86076.77,86076.77,85748.62,86072.75,0.00845,2025-12-01 04:44:59.999000+00:00,725.0118273,5,0.00133,114.4816529
2025-12-01 04:45:00+00:00,86070.3,86070.3,85770.3,85866.0,0.00097,2025-12-01 04:49:59.999000+00:00,83.442504,4,0.00079,67.995237
2025-12-01 04:50:00+00:00,86059.29,86059.29,85866.0,85866.0,0.00818,2025-12-01 04:54:59.999000+00:00,702.4960072,4,0.00058,49.9143882
2025-12-01 04:55:00+00:00,85866.0,85866.0,85865.39,85865.4,0.00153,2025-12-01 04:59:59.999000+00:00,131.3748091,8,0.00037,31.7702491
2025-12-01 05:00:00+00:00,85865.33,86000.46,85766.92,85995.69,0.36253,2025-12-01 05:04:59.999000+00:00,31112.0641631,15,0.1864,16005.9365435
2025-12-01 05:05:00+00:00,85994.54,85994.54,85678.82,85678.82,0.01589,2025-12-01 05:09:59.999000+00:00,1362.7690756,17,0.00291,250.1713324
2025-12-01 05:10:00+00:00,85916.38,85916.38,85915.78,85915.78,0.00225,2025-12-01 05:14:59.999000+00:00,193.3108518,4,0.00225,193.3108518
2025-12-01 05:15:00+00:00,85688.4,85903.77,85688.4,85902.81,0.00062,2025-12-01 05:19:59.999000+00:00,53.1354036,3,4e-05,3.4361316
2025-12-01 05:20:00+00:00,85679.41,85893.48,85679.41,85893.48,1.07757,2025-12-01 05:24:59.999000+00:00,92325.6731501,2,0.00052,44.6646096
